DEPARTAMENTO,AREA,TELEVISION,COMPUTADOR,TABLET,INTERNET,TELEFONO,RADIO
AMAZONAS,22,14,3,1,1,0,20
ANTIOQUIA,2.147,2.026,938,196,1.175,986,800
ARAUCA,90,69,14,1,16,8,50
ATLÁNTICO,645,603,279,87,358,277,300
BOGOTÁ D.C,2.813,2.734,1.937,667,2.125,1.884,1.000
BOLÍVAR,587,503,147,30,180,136,234
BOYACÁ,426,375,137,22,208,113,68
CALDAS,324,309,132,37,148,135,50
CAQUETÁ,159,126,31,3,51,21,50
CASANARE,120,99,36,5,56,27,39
CAUCA,433,355,106,17,131,88,23
CESAR,293,246,76,21,119,72,89
CHOCÓ,171,107,25,4,22,17,45
CÓRDOBA,477,400,101,25,100,76,89
CUNDINAMARCA,888,840,329,50,441,320,99
GUAINÍA,12,5,2,0,1,0,10
GUAVIARE,37,26,8,2,8,2,20
HUILA,373,331,111,21,147,85,123
LA GUAJIRA,298,160,41,9,61,24,80
MAGDALENA,338,287,90,25,115,79,56
META,329,292,123,25,177,121,23
NARIÑO,541,486,136,25,208,107,99
NORTE DE SANTANDER,411,389,120,26,176,114,58
PUTUMAYO,115,82,20,2,18,14,78
QUINDÍO,191,184,85,15,119,91,23
RISARALDA,322,311,143,32,185,160,67
SAN ANDRÉS,21,21,9,2,9,5,17
SANTANDER,671,611,276,70,409,308,90
SUCRE,232,199,54,14,74,46,34
TOLIMA,453,416,167,37,241,152,56
VALLE DEL CAUCA,1.542,1.466,773,220,1.068,808,546
VAUPÉS,11,5,2,0,0,0,10
VICHADA,22,11,3,1,1,1,17



